"exerciseId","exerciseName","type","equipment","muscleGroup","athlete","prompt","imageFile"
"cmt1wciyw00009yldzko8mc88","Press de banca plano","STRENGTH","Barra","Pecho","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Press de banca plano"" exactly as a real fitness coach would demonstrate it, holding an Olympic barbell with appropriate weight plates, strength training exercise, controlled force production, stable stance, focused expression, correct lifting mechanics, show the pushing pattern clearly with controlled shoulder and elbow alignment, targeting pecho muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wciyw00009yldzko8mc88.png"
"cmt1wcja800049yld2j6u9qxx","Cruces en polea","STRENGTH","Polea","Pecho","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Cruces en polea"" exactly as a real fitness coach would demonstrate it, using a cable machine with the appropriate attachment, strength training exercise, controlled force production, stable stance, focused expression, correct lifting mechanics, show the complete exercise movement and the relevant body position clearly, targeting pecho muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcja800049yld2j6u9qxx.png"
"cmt1wcjjw00089yldaapzyavh","Jalón al pecho","STRENGTH","Polea","Espalda","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Jalón al pecho"" exactly as a real fitness coach would demonstrate it, using a cable machine with the appropriate attachment, strength training exercise, controlled force production, stable stance, focused expression, correct lifting mechanics, show the pulling pattern clearly with shoulders controlled and spine neutral, targeting espalda muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcjjw00089yldaapzyavh.png"
"cmt1wcjvc000c9yldxsamglp5","Peso muerto","STRENGTH","Barra","Espalda","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Peso muerto"" exactly as a real fitness coach would demonstrate it, holding an Olympic barbell with appropriate weight plates, strength training exercise, controlled force production, stable stance, focused expression, correct lifting mechanics, show a clear hip hinge with neutral spine and hips moving backward, targeting espalda muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcjvc000c9yldxsamglp5.png"
"cmt1wck7k000g9ylds1f74e5f","Elevaciones laterales","STRENGTH","Mancuernas","Hombros","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Elevaciones laterales"" exactly as a real fitness coach would demonstrate it, holding dumbbells with a secure neutral grip, strength training exercise, controlled force production, stable stance, focused expression, correct lifting mechanics, show the complete exercise movement and the relevant body position clearly, targeting hombros muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wck7k000g9ylds1f74e5f.png"
"cmt1wckgy000k9yld3uhbxcmz","Curl con barra","STRENGTH","Barra","Bíceps","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Curl con barra"" exactly as a real fitness coach would demonstrate it, holding an Olympic barbell with appropriate weight plates, strength training exercise, controlled force production, stable stance, focused expression, correct lifting mechanics, show the complete exercise movement and the relevant body position clearly, targeting bíceps muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wckgy000k9yld3uhbxcmz.png"
"cmt1wckrp000o9yldwght3fhg","Curl concentrado","STRENGTH","Mancuerna","Bíceps","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Curl concentrado"" exactly as a real fitness coach would demonstrate it, using the specified equipment (Mancuerna) exactly as intended, strength training exercise, controlled force production, stable stance, focused expression, correct lifting mechanics, show the complete exercise movement and the relevant body position clearly, targeting bíceps muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wckrp000o9yldwght3fhg.png"
"cmt1wcl10000s9yld7y30wfz3","Patada de tríceps","STRENGTH","Mancuerna","Tríceps","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Patada de tríceps"" exactly as a real fitness coach would demonstrate it, using the specified equipment (Mancuerna) exactly as intended, strength training exercise, controlled force production, stable stance, focused expression, correct lifting mechanics, show the complete exercise movement and the relevant body position clearly, targeting tríceps muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcl10000s9yld7y30wfz3.png"
"cmt1wclaq000w9yldzyk12ehl","Extensión de cuádriceps","STRENGTH","Máquina","Cuádriceps","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Extensión de cuádriceps"" exactly as a real fitness coach would demonstrate it, using the specified gym machine with correct seat and body alignment, strength training exercise, controlled force production, stable stance, focused expression, correct lifting mechanics, show the complete exercise movement and the relevant body position clearly, targeting cuádriceps muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wclaq000w9yldzyk12ehl.png"
"cmt1wclk600109ylda2zsqp9r","Elevación de talones","STRENGTH","Peso corporal","Pantorrillas","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Elevación de talones"" exactly as a real fitness coach would demonstrate it, using bodyweight only, no external equipment, strength training exercise, controlled force production, stable stance, focused expression, correct lifting mechanics, show the complete exercise movement and the relevant body position clearly, targeting pantorrillas muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wclk600109ylda2zsqp9r.png"
