id,name,type,description,clientDescription,muscleGroup,equipment,videoUrl,imageUrl,gifUrl,tags,isPublic,createdAt
"cmt1wcj3300019yldszg7n1o7","Press de banca inclinado","STRENGTH","Ejercicio de pecho tipo strength. Requiere barra.","Igual que el press plano pero en un banco inclinado entre 30° y 45°. Enfoca más la parte superior del pecho y los hombros.","Pecho","Barra",,,,"[""press"",""pecho"",""inclinado""]","true","2026-08-20T19:11:36.351Z"
"cmt1wcj5j00029yldxgx6v0dw","Press de banca declinado","STRENGTH","Ejercicio de pecho tipo strength. Requiere barra.","Acostado en banco declinado (pies arriba), empujá la barra desde el pecho inferior. Trabaja más la parte baja del pecho.","Pecho","Barra",,,,"[""press"",""pecho"",""declinado""]","true","2026-08-20T19:11:36.440Z"
"cmt1wcj7t00039yldl0jfmsq1","Aperturas con mancuernas","STRENGTH","Ejercicio de pecho tipo strength. Requiere mancuernas.","Acostado en banco plano con mancuernas extendidas sobre el pecho. Abrí los brazos lateralmente en arco hasta sentir el estiramiento y volvé al centro.","Pecho","Mancuernas",,,,"[""aperturas"",""pecho"",""aislado""]","true","2026-08-20T19:11:36.522Z"
"cmt1wcja800049yld2j6u9qxx","Cruces en polea","STRENGTH","Ejercicio de pecho tipo strength. Requiere polea.","De pie en el centro de dos poleas altas, tirá las manos hacia abajo y adelante cruzándolas frente al pecho. Mantené los codos ligeramente flexionados.","Pecho","Polea",,,,"[""cruces"",""pecho"",""aislado""]","true","2026-08-20T19:11:36.608Z"
"cmt1wcjcm00059ylddizpm689","Fondos en paralelas","STRENGTH","Ejercicio de pecho tipo strength. Requiere paralelas.","Colgado de las paralelas con los codos extendidos, inclinate un poco hacia adelante y bajá flexionando los codos hasta que los hombros queden por debajo de los codos. Subí empujando.","Pecho","Paralelas",,,,"[""fondos"",""pecho"",""compound""]","true","2026-08-20T19:11:36.695Z"
"cmt1wcjf000069yld70w99n67","Pull-over","STRENGTH","Ejercicio de pecho tipo strength. Requiere mancuerna.","Acostado en banco plano con una mancuerna sostenida con ambas manos sobre el pecho. Bajá la mancuerna en arco por detrás de la cabeza estirando los brazos y volvé al centro.","Pecho","Mancuerna",,,,"[""pullover"",""pecho"",""aislado""]","true","2026-08-20T19:11:36.780Z"
"cmt1wcjhf00079yld2nduorws","Dominadas","STRENGTH","Ejercicio de espalda tipo strength. Requiere barra.","Colgado de una barra con las palmas hacia afuera (agarre prono), tirá de tu cuerpo hacia arriba hasta que la barbilla supere la barra. Bajá controladamente.","Espalda","Barra",,,,"[""dominadas"",""espalda"",""compound""]","true","2026-08-20T19:11:36.868Z"
"cmt1wcjm900099yldrez29er5","Remo con barra","STRENGTH","Ejercicio de espalda tipo strength. Requiere barra.","Inclinado hacia adelante con la espalda recta y la barra colgando, tirá la barra hacia tu abdomen inferior apretando los omóplatos juntos.","Espalda","Barra",,,,"[""remo"",""espalda"",""compound""]","true","2026-08-20T19:11:37.041Z"
"cmt1wcjor000a9yldgzpjzjs6","Remo con mancuerna","STRENGTH","Ejercicio de espalda tipo strength. Requiere mancuerna.","Apoyá una mano y la rodilla del mismo lado en un banco, con la otra mano tirá la mancuerna hacia tu cadera apretando el omóplato.","Espalda","Mancuerna",,,,"[""remo"",""espalda"",""unilateral""]","true","2026-08-20T19:11:37.131Z"
"cmt1wcjr2000b9yldxdxvej0a","Remo en máquina","STRENGTH","Ejercicio de espalda tipo strength. Requiere máquina.","Sentado en la máquina con el pecho apoyado en el soporte, tirá las manijas hacia atrás apretando los omóplatos. Mantené los codos cerca del cuerpo.","Espalda","Máquina",,,,"[""remo"",""espalda"",""maquina""]","true","2026-08-20T19:11:37.214Z"
