index,sourceArray,name,type,muscleGroup,equipment,tags,description,clientDescription,isPublic
"1","exercises","Press de banca plano","STRENGTH","Pecho","Barra","press|pecho|barra|compound|pectorales","Ejercicio compuesto de fuerza para el tren superior que trabaja principalmente el pectoral mayor, con participación secundaria del deltoides anterior y el tríceps. Se realiza acostado en banco plano empujando una barra desde el pecho hasta la extensión completa de brazos. Es uno de los movimientos fundamentales para desarrollar masa y fuerza en el pecho.","Acostate boca arriba en un banco plano. Agarrá la barra con las manos un poco más anchas que los hombros. Bajá la barra controladamente hasta que toque suavemente la parte media del pecho. Empujá hacia arriba hasta extender completamente los brazos. Mantené los pies firmes en el piso y la espalda ligeramente arqueada. Respirá: inhalá al bajar, exhalá al subir.","true"
"2","exercises","Press de banca inclinado","STRENGTH","Pecho","Barra","press|pecho|barra|inclinado|pectorales_superior","Variante del press de banca realizado en banco inclinado entre 30° y 45°. Enfatiza el trabajo del pectoral mayor clavicular (parte superior del pecho) y el deltoides anterior. El ángulo de inclinación determina el grado de activación de cada músculo: a mayor inclinación, más participación del hombro.","Ajustá el banco a un ángulo de 30° a 45°. Acostate y agarrá la barra con las manos un poco más anchas que los hombros. Bajá la barra controladamente hasta la parte superior del pecho (cerca de la clavícula). Empujá hacia arriba hasta extender los brazos. Evitá inclinar el banco más de 45° para no convertirlo en un press de hombros.","true"
"3","exercises","Press de banca declinado","STRENGTH","Pecho","Barra","press|pecho|barra|declinado|pectorales_inferior","Variante del press de banca realizado en banco declinado (pies arriba, cabeza abajo). Enfatiza el trabajo del pectoral mayor esternal (parte inferior del pecho) y reduce la participación del deltoides anterior. Permite manejar cargas mayores que el press plano debido a la mecánica favorable del ángulo.","Ajustá el banco en declinación (pies arriba, cabeza abajo). Asegurate de que los tobillos queden bien sujetos. Agarrá la barra con las manos un poco más anchas que los hombros. Bajá la barra hasta la parte inferior del pecho (cerca del esternón). Empujá hacia arriba hasta extender los brazos. Tené cuidado con la presión en la cabeza al levantar y bajar la barra.","true"
"4","exercises","Aperturas con mancuernas","STRENGTH","Pecho","Mancuernas","aperturas|pecho|mancuernas|aislado|pectorales","Ejercicio de aislamiento para el pectoral mayor que consiste en abrir los brazos lateralmente desde una posición extendida sobre el pecho hasta sentir un estiramiento controlado. Trabaja la porción externa del pecho y mejora la flexibilidad del hombro. A diferencia del press, mantiene tensión constante en el músculo durante todo el recorrido.","Acostate en banco plano con una mancuerna en cada mano. Extendé los brazos sobre el pecho con las palmas enfrentadas. Con los codos ligeramente flexionados, abrí los brazos lateralmente en un arco amplio hasta sentir un estiramiento en el pecho. Volvé al centro apretando los pectorales. No bajes más allá de la línea del banco para proteger los hombros.","true"
"5","exercises","Cruces en polea","STRENGTH","Pecho","Polea","cruces|pecho|polea|aislado|pectorales","Ejercicio de aislamiento para el pectoral mayor realizado en poleas cruzadas altas. Consiste en traer las manos desde una posición abierta hacia el centro del cuerpo cruzándolas frente al pecho. Mantiene tensión constante en el músculo durante todo el recorrido, algo que no ocurre con mancuernas o barra debido a la gravedad.","Parate en el centro de dos poleas altas, un paso adelante para crear tensión. Agarrá las manijas con las palmas hacia abajo. Con los codos ligeramente flexionados, tirá las manos hacia abajo y adelante cruzándolas frente al pecho o la cintura. Apretá los pectorales al cruzar. Volvé lentamente a la posición inicial manteniendo el control. No uses el impulso del cuerpo.","true"
"6","exercises","Fondos en paralelas","STRENGTH","Pecho","Paralelas","fondos|pecho|paralelas|compound|pectorales","Ejercicio compuesto de peso corporal que trabaja el pectoral mayor, deltoides anterior y tríceps. La inclinación del torso hacia adelante enfatiza el trabajo del pecho, mientras que un torso vertical enfoca más el tríceps. Es un movimiento funcional que desarrolla fuerza y estabilidad del hombro.","Colgate de las paralelas con los brazos extendidos. Inclinate ligeramente hacia adelante (esto enfatiza el pecho). Bajá flexionando los codos hasta que los hombros queden por debajo de los codos o hasta sentir un estiramiento en el pecho. Subí empujando hasta extender los brazos. Si es muy difícil, usá una máquina asistida o bandas elásticas. Mantené el control en todo momento.","true"
"7","exercises","Pull-over","STRENGTH","Pecho","Mancuerna","pullover|pecho|mancuerna|aislado|dorsal_ancho|serrato","Ejercicio de aislamiento que trabaja el pectoral mayor, dorsal ancho y serrato anterior. Consiste en llevar una mancuerna desde una posición extendida sobre el pecho en un arco por detrás de la cabeza hasta sentir un estiramiento en el pecho y la espalda. Es excelente para mejorar la movilidad del hombro y desarrollar la caja torácica.","Acostate en banco plano con una mancuerna sostenida con ambas manos sobre el pecho. Con los brazos casi extendidos, bajá la mancuerna en un arco amplio por detrás de la cabeza hasta sentir un estiramiento en el pecho y la espalda. Volvé al centro apretando los pectorales. Mantené los codos ligeramente flexionados durante todo el movimiento. No forces el rango de movimiento.","true"
"8","exercises","Dominadas","STRENGTH","Espalda","Barra","dominadas|espalda|barra|compound|dorsal_ancho|biceps","Ejercicio compuesto de peso corporal considerado el rey de los ejercicios de espalda. Trabaja intensamente el dorsal ancho, romboides, trapecio inferior y bíceps. Consiste en elevar el cuerpo colgado de una barra hasta que la barbilla supere la barra. Existen múltiples variantes de agarre (prono, supino, neutro) que modifican la activación muscular.","Colgate de una barra con las palmas hacia afuera (agarre prono) y las manos más anchas que los hombros. Desde la posición de brazos extendidos, tirá de tu cuerpo hacia arriba llevando los codos hacia abajo y atrás. Llevá la barbilla por encima de la barra. Bajá controladamente hasta extender completamente los brazos. Si no podés hacer dominadas completas, usá bandas elásticas o una máquina asistida.","true"
"9","exercises","Jalón al pecho","STRENGTH","Espalda","Polea","jalon|espalda|polea|compound|dorsal_ancho|romboides","Ejercicio compuesto realizado en polea alta que simula el movimiento de las dominadas pero con resistencia ajustable. Trabaja el dorsal ancho, romboides, trapecio inferior y bíceps. Permite manejar cargas controladas y es ideal para quienes aún no pueden hacer dominadas con su propio peso corporal.","Sentate en la máquina de polea alta y asegurate de que los muslos queden bien sujetos bajo el rodillo. Agarrá la barra con las manos más anchas que los hombros (agarre prono). Tirá la barra hacia abajo hasta la parte superior del pecho, llevando los codos hacia abajo y atrás y apretando los omóplatos juntos. Bajá controladamente hasta extender los brazos. No uses el impulso del torso.","true"
"10","exercises","Remo con barra","STRENGTH","Espalda","Barra","remo|espalda|barra|compound|dorsal_ancho|romboides|trapecio","Ejercicio compuesto de tracción horizontal que trabaja el dorsal ancho, romboides, trapecio medio, erectores espinales y bíceps. Consiste en tirar una barra hacia el abdomen inferior desde una posición inclinada hacia adelante. Es fundamental para desarrollar espesor y densidad en la espalda, además de mejorar la postura.","De pie con los pies a la altura de los hombros, inclinate hacia adelante desde las caderas manteniendo la espalda recta y neutra. Agarrá la barra con las manos un poco más anchas que los hombros (agarre prono). Tirá la barra hacia tu abdomen inferior apretando los omóplatos juntos como si quisieras agarrar un lápiz entre ellos. Bajá controladamente hasta extender los brazos. No redondeés la espalda.","true"
